run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	experiment_title	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR12183201	SAMN15485968	SRX8697741	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/001/SRR12183201/SRR12183201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/001/SRR12183201/SRR12183201_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/001/SRR12183201	
SRR12183139	SAMN15485655	SRX8697901	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CS sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/039/SRR12183139/SRR12183139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/039/SRR12183139/SRR12183139_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/039/SRR12183139	
SRR12183205	SAMN15485965	SRX8697737	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/005/SRR12183205/SRR12183205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/005/SRR12183205/SRR12183205_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/005/SRR12183205	
SRR12183140	SAMN15485872	SRX8697802	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 24 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/040/SRR12183140/SRR12183140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/040/SRR12183140/SRR12183140_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/040/SRR12183140	
SRR12183206	SAMN15485964	SRX8697736	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/006/SRR12183206/SRR12183206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/006/SRR12183206/SRR12183206_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/006/SRR12183206	
SRR12183147	SAMN15485668	SRX8697795	PRJNA644936	939928	rhizosphere metagenome	Illumina MiSeq sequencing: 16S amplicon of RT sample from mesocosm with Sand soil and Gv Experiment 1. Samples collected 81 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/047/SRR12183147/SRR12183147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/047/SRR12183147/SRR12183147_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/047/SRR12183147	
SRR12183207	SAMN15485963	SRX8697735	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RS sample from mesocosm with Lansing soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/007/SRR12183207/SRR12183207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/007/SRR12183207/SRR12183207_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/007/SRR12183207	
SRR12183149	SAMN15485864	SRX8697793	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/049/SRR12183149/SRR12183149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/049/SRR12183149/SRR12183149_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/049/SRR12183149	
SRR12183212	SAMN15485958	SRX8697730	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/012/SRR12183212/SRR12183212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/012/SRR12183212/SRR12183212_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/012/SRR12183212	
SRR12183155	SAMN15485858	SRX8697787	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 45 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/055/SRR12183155/SRR12183155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/055/SRR12183155/SRR12183155_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/055/SRR12183155	
SRR12183213	SAMN15485957	SRX8697729	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Florence soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/013/SRR12183213/SRR12183213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/013/SRR12183213/SRR12183213_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/013/SRR12183213	
SRR12183156	SAMN15485857	SRX8697786	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/056/SRR12183156/SRR12183156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/056/SRR12183156/SRR12183156_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/056/SRR12183156	
SRR12183218	SAMN15485953	SRX8697724	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RS sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/018/SRR12183218/SRR12183218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/018/SRR12183218/SRR12183218_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/018/SRR12183218	
SRR12183160	SAMN15485854	SRX8697782	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 45 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/060/SRR12183160/SRR12183160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/060/SRR12183160/SRR12183160_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/060/SRR12183160	
SRR12183220	SAMN15485951	SRX8697722	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Pendelton soil and Gv Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/020/SRR12183220/SRR12183220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/020/SRR12183220/SRR12183220_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/020/SRR12183220	
SRR12183164	SAMN15485850	SRX8697778	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of T0 sample from mesocosm with Lansing soil and Experiment 3. Samples collected NA days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/064/SRR12183164/SRR12183164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/064/SRR12183164/SRR12183164_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/064/SRR12183164	
SRR12183227	SAMN15485706	SRX8697715	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/027/SRR12183227/SRR12183227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/027/SRR12183227/SRR12183227_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/027/SRR12183227	
SRR12183165	SAMN15485849	SRX8697777	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of T0 sample from mesocosm with Lansing soil and Experiment 3. Samples collected NA days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/065/SRR12183165/SRR12183165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/065/SRR12183165/SRR12183165_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/065/SRR12183165	
SRR12183232	SAMN15485702	SRX8697710	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of CH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/032/SRR12183232/SRR12183232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/032/SRR12183232/SRR12183232_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/032/SRR12183232	
SRR12183171	SAMN15485920	SRX8697771	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BH sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/071/SRR12183171/SRR12183171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/071/SRR12183171/SRR12183171_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/071/SRR12183171	
SRR12183237	SAMN15485697	SRX8697705	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of RH sample from mesocosm with Lansing soil and Gv Experiment 3. Samples collected 14 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/037/SRR12183237/SRR12183237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/037/SRR12183237/SRR12183237_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/037/SRR12183237	
SRR12183172	SAMN15485919	SRX8697770	PRJNA644936	410658	soil metagenome	Illumina MiSeq sequencing: 16S amplicon of BS sample from mesocosm with Lansing soil and RI Experiment 2. Samples collected 27 days after soil in-growth cores inserted in mesocosm	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/072/SRR12183172/SRR12183172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/072/SRR12183172/SRR12183172_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR121/072/SRR12183172	
