Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12183296_2	SRR12183296_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37259.0	11.2 Mbp	0.0	301.0	53.0	11.801175554899487	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183309_1	SRR12183309_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25840.0	7.7 Mbp	0.0	301.0	53.0	11.219040247678018	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183309_2	SRR12183309_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25840.0	7.7 Mbp	0.0	301.0	54.0	20.843653250773993	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183310_1	SRR12183310_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29915.0	9 Mbp	0.0	301.0	56.0	10.49974928965402	301.0	301	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR12183310_2	SRR12183310_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29915.0	9 Mbp	0.0	301.0	56.0	20.116998161457463	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR12183321_1	SRR12183321_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30125.0	9 Mbp	0.0	301.0	53.0	9.204979253112032	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183321_2	SRR12183321_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30125.0	9 Mbp	0.0	301.0	53.0	18.323651452282157	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183332_1	SRR12183332_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24768.0	7.4 Mbp	0.0	301.0	54.0	10.8890503875969	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183332_2	SRR12183332_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24768.0	7.4 Mbp	0.0	301.0	55.0	20.473998708010335	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183337_1	SRR12183337_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20874.0	6.2 Mbp	0.0	301.0	52.0	10.338219794960239	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183337_2	SRR12183337_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20874.0	6.2 Mbp	0.0	301.0	52.0	18.027210884353742	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183348_1	SRR12183348_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20451.0	6.1 Mbp	0.0	301.0	55.0	13.823284924942545	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183348_2	SRR12183348_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20451.0	6.1 Mbp	0.0	301.0	55.0	23.284924942545597	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183359_1	SRR12183359_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24329.0	7.3 Mbp	0.0	301.0	53.0	8.385054872785565	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183359_2	SRR12183359_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24329.0	7.3 Mbp	0.0	301.0	54.0	14.22993135763903	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183366_1	SRR12183366_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27888.0	8.3 Mbp	0.0	301.0	53.0	6.540447504302927	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183366_2	SRR12183366_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27888.0	8.3 Mbp	0.0	301.0	53.0	11.054934021801492	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183377_1	SRR12183377_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30172.0	9 Mbp	0.0	301.0	53.0	7.619647355163728	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183377_2	SRR12183377_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30172.0	9 Mbp	0.0	301.0	53.0	10.47328649078616	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183388_1	SRR12183388_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23586.0	7 Mbp	0.0	301.0	54.0	5.889086746374969	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183388_2	SRR12183388_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23586.0	7 Mbp	0.0	301.0	54.0	8.69159670991266	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183400_1	SRR12183400_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45284.0	13.6 Mbp	0.0	301.0	52.0	5.193887465771575	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183400_2	SRR12183400_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45284.0	13.6 Mbp	0.0	301.0	52.0	8.34952742690575	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183411_1	SRR12183411_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34654.0	10.4 Mbp	0.0	301.0	52.0	6.256132048248399	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183411_2	SRR12183411_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34654.0	10.4 Mbp	0.0	301.0	52.0	7.70473826975241	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183422_1	SRR12183422_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43371.0	13 Mbp	0.0	301.0	52.0	4.878836088630652	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183422_2	SRR12183422_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43371.0	13 Mbp	0.0	301.0	52.0	7.867007908510295	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183423_1	SRR12183423_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25808.0	7.7 Mbp	0.0	301.0	56.0	14.27076875387477	301.0	301	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR12183423_2	SRR12183423_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25808.0	7.7 Mbp	0.0	301.0	56.0	22.981246125232484	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR12183434_1	SRR12183434_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58139.0	17.4 Mbp	0.0	301.0	51.0	5.130807203426271	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183434_2	SRR12183434_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58139.0	17.4 Mbp	0.0	301.0	51.0	6.943703882075715	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183445_1	SRR12183445_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46036.0	13.8 Mbp	0.0	301.0	52.0	5.122078373446868	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183445_2	SRR12183445_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46036.0	13.8 Mbp	0.0	301.0	52.0	7.635328873055869	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183456_1	SRR12183456_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76535.0	23 Mbp	0.0	301.0	52.0	4.171947475011432	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183456_2	SRR12183456_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76535.0	23 Mbp	0.0	301.0	52.0	6.808649637420788	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183467_1	SRR12183467_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1050.0	316 kbp	0.0	301.0	53.0	23.42857142857143	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183467_2	SRR12183467_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1050.0	316 kbp	0.0	301.0	53.0	35.42857142857142	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183485_1	SRR12183485_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43252.0	13 Mbp	0.0	301.0	56.0	13.504577822990843	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183485_2	SRR12183485_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43252.0	13 Mbp	0.0	301.0	56.0	22.40358827337464	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183496_1	SRR12183496_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34744.0	10.4 Mbp	0.0	301.0	56.0	15.746603730140457	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183496_2	SRR12183496_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34744.0	10.4 Mbp	0.0	301.0	56.0	22.832719318443473	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183504_1	SRR12183504_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35991.0	10.8 Mbp	0.0	301.0	54.0	12.341974382484509	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183504_2	SRR12183504_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35991.0	10.8 Mbp	0.0	301.0	54.0	17.598844155483313	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183505_1	SRR12183505_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29331.0	8.8 Mbp	0.0	301.0	56.0	17.701408066550748	301.0	301	pass	warn	pass	fail	warn	pass	pass	fail	fail	pass
SRR12183505_2	SRR12183505_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29331.0	8.8 Mbp	0.0	301.0	56.0	23.47004875387815	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR12183516_1	SRR12183516_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52543.0	15.8 Mbp	0.0	301.0	53.0	8.56631711169899	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183516_2	SRR12183516_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52543.0	15.8 Mbp	0.0	301.0	54.0	14.835468092800182	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183527_1	SRR12183527_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52513.0	15.8 Mbp	0.0	301.0	54.0	11.050596995029801	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183527_2	SRR12183527_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52513.0	15.8 Mbp	0.0	301.0	55.0	18.075524155923294	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183532_1	SRR12183532_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14600.0	4.3 Mbp	0.0	301.0	54.0	16.19178082191781	301.0	301	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183532_2	SRR12183532_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14600.0	4.3 Mbp	0.0	301.0	54.0	25.34246575342466	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183543_1	SRR12183543_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61926.0	18.6 Mbp	0.0	301.0	53.0	8.279236508090301	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183543_2	SRR12183543_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61926.0	18.6 Mbp	0.0	301.0	53.0	13.982818202370574	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183554_1	SRR12183554_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57732.0	17.3 Mbp	0.0	301.0	53.0	8.768100879927943	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183554_2	SRR12183554_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57732.0	17.3 Mbp	0.0	301.0	54.0	14.969167879165802	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass
SRR12183559_1	SRR12183559_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39061.0	11.7 Mbp	0.0	301.0	54.0	8.11551163564681	301.0	301	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183559_2	SRR12183559_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39061.0	11.7 Mbp	0.0	301.0	54.0	10.99306213358593	301.0	301	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
SRR12183560_1	SRR12183560_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50554.0	15.2 Mbp	0.0	301.0	56.0	12.343236934762828	301.0	301	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR12183560_2	SRR12183560_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50554.0	15.2 Mbp	0.0	301.0	56.0	20.66898761720141	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
SRR12183561_1	SRR12183561_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38610.0	11.6 Mbp	0.0	301.0	56.0	13.377363377363377	301.0	301	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR12183561_2	SRR12183561_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38610.0	11.6 Mbp	0.0	301.0	56.0	22.887852887852887	301.0	301	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
